Modality,Ownership,Authorship,Source,Currency,Interactivity,Navigability,Balance,Statistics,Testemony,Quotes,Navigation Menu,Privacy Aggrement,External Links,Physical,Third Party,Promonance,Visual Appeal,Lack of Ads,Terminology,Web Host,Support Site,Charity,Government,Sale of Services,Sale of Products,Personal,Medical,Media,Clinician
ACU,2,2,2,2,1,2,2,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0
ACU,2,1,2,2,1,2,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
ACU,2,2,2,2,2,2,2,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
ACU,2,1,2,2,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
ACU,2,1,2,2,2,2,2,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
ACU,2,2,2,2,2,2,2,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
ACU,2,1,1,2,2,2,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
ACU,2,2,2,2,2,2,2,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
ACU,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0
ACU,2,2,2,2,2,2,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
ACU,2,1,1,2,2,2,2,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
ACU,2,2,2,2,2,2,2,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1
ACU,2,1,2,2,2,2,2,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0
ACU,2,2,2,2,2,2,2,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
ACU,2,2,2,2,2,2,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
ACU,2,1,1,2,2,2,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1
ACU,2,1,2,2,2,2,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
ACU,2,0,2,2,2,2,2,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
ACU,2,1,2,2,0,2,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1
ACU,2,0,2,2,2,2,2,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ACU,2,2,2,2,2,2,2,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1
ACU,2,0,2,2,2,2,2,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
ACU,2,2,2,2,2,2,2,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
ACU,2,1,2,2,0,2,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
ACU,2,2,2,2,2,2,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
ACU,2,0,0,0,2,2,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
ACU,2,1,2,2,2,2,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0
ACU,2,0,2,2,2,2,2,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1
ACU,2,2,0,0,2,2,2,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0
ACU,2,2,2,2,2,2,2,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ACU,2,0,2,0,0,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACU,2,2,1,1,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ACU,2,2,2,2,1,2,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
ACU,2,2,2,2,2,2,2,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
ACU,1,1,0,1,2,2,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
ACU,2,2,2,2,2,2,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1
ACU,2,2,1,2,2,2,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1
HOM,2,1,2,2,2,2,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
HOM,2,1,2,2,2,2,2,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
HOM,2,1,2,2,2,2,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
HOM,2,2,2,2,2,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
HOM,2,0,0,2,2,2,2,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0
HOM,2,2,2,2,2,2,2,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
HOM,2,2,0,2,0,1,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
HOM,2,2,2,2,2,2,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
HOM,2,2,2,2,2,2,2,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
HOM,2,2,2,2,2,2,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
HOM,2,0,2,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
HOM,2,1,0,2,2,2,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1
HOM,2,0,0,2,2,2,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
HOM,2,2,2,2,2,2,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
HOM,2,0,2,2,2,2,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0
HOM,2,0,0,2,2,2,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
HOM,2,0,2,2,2,2,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
HOM,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
HOM,2,0,0,0,2,2,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
HOM,1,1,1,1,2,2,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
HOM,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
HOM,2,2,2,2,2,2,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
HOM,1,1,2,2,2,2,2,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
HOM,1,1,0,2,2,2,2,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
HOM,2,2,0,0,2,2,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
HOM,2,2,2,2,2,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
HOM,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
HOM,2,2,2,2,2,2,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
HOM,2,1,1,2,2,2,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HOM,2,2,1,1,2,2,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
HOM,2,1,2,2,2,2,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
HOM,2,1,1,2,2,2,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
HOM,2,2,2,1,2,2,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
MAS,2,0,0,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
MAS,2,0,2,2,2,2,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
MAS,2,1,0,0,0,2,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1
MAS,2,2,2,2,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAS,2,0,0,2,2,2,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1
MAS,1,1,0,2,2,2,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
MAS,2,2,0,2,2,2,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
MAS,2,2,1,2,2,2,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1
MAS,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
MAS,1,1,2,2,2,2,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MAS,2,1,1,2,2,2,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
MAS,2,2,2,2,0,2,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
MAS,2,2,0,2,0,2,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
MAS,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
MAS,2,1,2,2,1,2,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
MAS,2,1,0,2,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
MAS,2,2,2,2,1,2,2,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
MAS,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
MAS,1,1,1,2,1,2,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
MAS,1,1,1,2,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
MAS,1,1,1,2,2,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
MAS,2,2,2,2,2,2,2,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
MAS,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
MAS,2,1,2,2,2,2,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
MAS,2,1,2,2,2,2,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
MAS,2,1,2,2,2,2,2,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
MAS,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
MAS,1,1,1,1,2,2,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
MAS,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
MAS,1,1,1,1,2,2,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
MAS,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
REI,2,2,2,2,2,2,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1
REI,2,1,0,2,2,2,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
REI,2,0,2,2,2,2,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
REI,2,1,0,2,2,2,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1
REI,2,2,2,2,2,2,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
REI,2,2,2,2,2,2,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
REI,2,2,0,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
REI,2,0,0,1,2,2,2,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
REI,2,2,2,2,2,2,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
REI,2,0,2,2,2,2,2,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
REI,2,2,0,0,2,2,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
REI,2,2,0,2,2,2,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
REI,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
REI,2,2,0,2,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
REI,2,2,2,2,2,2,2,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
REI,2,2,0,2,2,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
REI,2,2,2,2,2,2,2,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1
REI,2,2,2,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
REI,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1
REI,2,2,2,2,2,2,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
REI,2,2,2,2,2,2,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
REI,2,2,0,2,2,2,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
REI,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
REI,0,0,2,2,0,2,2,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
REI,2,2,2,2,2,2,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0
REI,2,0,0,2,2,2,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
REI,2,0,0,2,2,2,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
REI,2,2,0,2,2,2,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
REI,2,0,0,0,2,2,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1
REI,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
REI,2,2,0,2,2,2,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
REI,2,2,0,2,2,2,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
REI,2,2,2,2,2,2,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
REI,2,2,2,2,2,2,2,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
REI,2,2,2,2,2,2,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
REI,0,0,0,2,2,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1
REI,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1
YOG,2,2,2,2,2,2,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
YOG,2,2,1,2,2,2,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0
YOG,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
YOG,2,2,0,0,2,2,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
YOG,0,0,0,0,2,2,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0
YOG,2,2,0,2,2,2,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
YOG,2,2,0,2,2,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
YOG,2,2,2,2,2,2,2,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
YOG,2,0,0,2,2,2,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
YOG,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
YOG,2,2,2,2,2,2,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
YOG,2,2,0,2,2,2,2,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
YOG,2,2,0,2,2,2,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
YOG,2,0,0,2,2,2,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
YOG,2,1,0,2,2,2,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
YOG,2,2,0,0,1,2,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1
YOG,2,1,0,0,2,2,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
YOG,2,2,0,2,2,2,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1
YOG,2,2,1,2,2,2,2,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0
YOG,2,2,1,2,2,2,2,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
YOG,2,1,0,2,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
YOG,2,1,2,2,2,2,2,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
YOG,1,1,2,2,2,2,2,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
YOG,1,1,2,2,2,2,2,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
YOG,2,2,1,2,2,2,2,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
YOG,2,2,2,2,2,2,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
YOG,0,0,0,2,1,2,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
